site_code,timestamp_local,nh4_uM,no3_uM,po4_uM,tdn_uM,tdp_uM,spec_cond_uSpercm,tpc_uM,tpn_uM,tpp_uM
RS02,2006-03-03T03:24:00Z,0.4,4,0.6,9.9,0.9,588,NA,NA,NA
MC00,2006-03-03T05:12:00Z,0.4,52,1.4,72.9,1.2,973,NA,NA,NA
MC00,2010-12-20T15:59:00Z,0.7,205.1,5.6,231.2,6.1,435,NA,NA,NA
AB00,2008-11-26T10:35:00Z,1.4,38.8,7,74.9,2.8,284,NA,NA,NA
RS02,2004-03-02T07:44:00Z,0.1,1.6,1.2,11.8,1.3,709,NA,NA,NA
DV01,2006-03-03T02:15:00Z,1.3,33.5,6.6,63.4,7.2,354,NA,NA,NA
DV01,2005-11-15T13:00:00Z,0.8,3.2,22.9,97.2,24.7,2098,NA,NA,NA
AB00,2002-12-20T03:14:00Z,1.1,243.3,17.2,315.3,26.8,474,4300.8,460.2,170.5
RG01,2009-02-16T10:55:00Z,0.6,122.6,5.5,164.4,6.1,705,NA,NA,NA
RS02,2008-12-15T02:30:00Z,1.1,17.5,1.3,39.5,1.9,891,NA,NA,NA
MC00,2009-03-04T08:45:00Z,7.5,32.9,4.8,70,5.6,299,NA,NA,NA
MC00,2005-01-10T11:01:00Z,0.2,70.9,5.3,91.1,4.6,211,5037.8,392.7,52.6
BC02,2006-03-03T17:15:00Z,1.2,332.6,1.9,388.3,2.1,1154,NA,NA,NA
BC02,2008-12-24T13:20:00Z,9.8,118.9,2.9,214,3.7,2660,NA,NA,NA
MC06,2010-04-11T19:00:00Z,6.8,NA,1.7,62.7,3.9,1004,NA,NA,NA
RG01,2008-11-26T06:55:00Z,0.2,48.2,3.6,79.3,2.9,568,NA,NA,NA
AB00,2003-02-23T22:10:00Z,5.8,112.4,2.1,140.3,2.3,2167,12.5,1.6,0.4
DV01,2005-01-02T11:00:00Z,6.8,82.6,13.8,121.7,13,896,NA,NA,NA
MC00,2003-12-14T15:56:00Z,43.4,112,18.1,252.9,16.2,393,NA,NA,NA
AT07,2007-01-30T22:29:00Z,0.4,NA,NA,28.5,0.5,1508,NA,NA,NA
BC02,2006-02-27T07:05:00Z,1.2,1818.2,2.4,1897.9,1.8,2486,NA,NA,NA
RG01,2009-02-06T22:40:00Z,0.1,52.6,1.6,87.1,0.9,2270,NA,NA,NA
TO02,2006-02-20T00:52:00Z,0.5,635.7,0.2,521.1,0.4,1374,NA,NA,NA
GV01,2007-01-28T21:53:00Z,0.1,0.3,0.3,39.9,0.7,1532,NA,NA,NA
GV01,2005-11-09T15:30:00Z,0.1,53.3,1.7,105.5,3.2,1147,NA,NA,NA
BC02,2006-01-02T13:20:00Z,0.2,251.7,2.6,313.9,3.3,457,NA,NA,NA
RG01,2004-12-27T21:39:00Z,0.2,160.5,3.1,187,3.5,920,745.5,56,16.6
RG01,2007-02-22T20:55:00Z,0.4,152.4,4.8,265.3,4.6,1372,NA,NA,NA
BC02,2005-01-02T21:30:00Z,0.2,203.6,5.5,238.2,3.9,462,NA,NA,NA
BC02,2009-02-17T04:45:00Z,28,141,5.1,269.4,7.2,585,NA,NA,NA
ON02,2009-02-18T07:09:00Z,0.1,20.6,0.2,18.4,0.2,988,NA,NA,NA
GV01,2005-01-07T08:05:00Z,2.4,44.8,34.7,79.8,33.4,394,16878.7,1762.2,1630.7
MC00,2006-02-16T14:28:00Z,0.6,111.8,1,110.4,0.6,1355,NA,NA,NA
MC00,2005-06-02T12:20:00Z,1.2,102.7,0.2,131.7,0.3,1170,12.7,0.8,0.1
RS02,2006-02-27T13:14:00Z,0.5,15.9,0.2,11,0.4,751,NA,NA,NA
AB00,2003-11-09T02:45:00Z,8.9,47.7,8.9,118.9,9.6,291,NA,NA,NA
RS02,2003-11-07T09:20:00Z,17.6,2.5,2,26.4,2,883,NA,NA,NA
MC00,2005-01-17T12:26:00Z,0.2,79.2,4.5,87,1.5,766,NA,NA,NA
AB00,2008-12-15T03:40:00Z,3.5,31.1,3.7,60,5.6,283,NA,NA,NA
ON02,2005-01-28T23:01:00Z,0.3,147.3,2.1,160.5,0.6,955,22.5,0.9,NA
RG01,2001-02-25T14:50:00Z,0.3,98.6,1,122.9,2.5,NA,NA,NA,NA
GV01,2003-02-23T15:18:00Z,0.2,0.3,2,15,2.6,1323,3.9,0.4,0.1
MC00,2005-12-21T14:40:00Z,2.2,108.2,1.2,133.5,1.5,1363,NA,NA,NA
DV01,2004-10-26T11:25:00Z,14.9,8.2,13.5,124.3,10.5,3143,NA,NA,NA
DV01,2004-02-18T12:10:00Z,36.8,67,9.7,148.5,10,3315,NA,NA,NA
AT07,2005-04-29T00:31:00Z,0.1,64.7,6.6,92.5,4.4,1302,NA,NA,NA
AB00,2012-01-19T09:45:00Z,6,74.2,0.3,96.4,0.4,1828,NA,NA,NA
BC02,2009-03-19T12:00:00Z,0.1,443.8,2.7,533.9,3.2,1743,NA,NA,NA
RS02,2009-12-13T01:55:00Z,43.6,250.1,8.9,467.8,9.2,558,NA,NA,NA
RG01,2009-02-16T17:55:00Z,0.8,69.9,2.5,100.6,2.2,569,NA,NA,NA
MC00,2011-11-12T08:15:00Z,1.6,65.5,5.7,99.8,6.2,405,NA,NA,NA
AB00,2009-03-04T16:30:00Z,1.8,17.9,2.1,45.7,0.5,567,NA,NA,NA
AB00,2001-10-30T14:40:00Z,24.1,235.7,12.5,447.7,22.3,NA,1293.2,118.1,44.3
RS02,2010-01-23T20:25:00Z,1.1,356.5,NA,405.9,13.9,329,NA,NA,NA
MC06,2012-05-18T09:10:00Z,0.2,7.4,1.6,9,1.2,1360,NA,NA,NA
GV01,2005-10-17T11:10:00Z,0.5,4.5,0.5,19,0.6,1445,NA,NA,NA
AB00,2012-02-16T08:00:00Z,6.6,57.2,0.5,99.3,0.7,NA,NA,NA,NA
TO02,2007-03-21T11:35:00Z,0.6,232.2,NA,248.1,0.2,1139,NA,NA,NA
RG01,2009-12-12T22:25:00Z,0.1,49.1,0.6,98.7,0.3,2699,NA,NA,NA
GV01,2005-04-28T17:29:00Z,0.2,17.8,3.4,36.1,0.3,1335,NA,NA,NA
GV01,2007-01-27T23:51:00Z,0.4,0.5,NA,41.9,0.9,1426,NA,NA,NA
DV01,2004-12-29T14:00:00Z,7.3,72.3,21.3,151.7,21.2,571,NA,NA,NA
MC00,2001-03-05T14:00:00Z,0.5,58.3,7.8,84.8,8.8,195,600.2,54.6,4.7
AB00,2009-02-16T20:55:00Z,0.6,26.9,10.5,65,9.9,619,NA,NA,NA
RS02,2003-10-31T13:15:00Z,1.8,8.4,1.8,29.7,2.2,878,NA,NA,NA
AT07,2006-02-28T01:06:00Z,4.3,81.8,12.7,119.2,12.4,325,NA,NA,NA
RG01,2004-10-22T12:05:00Z,0.9,2.8,3.2,35.4,3.3,2571,33.5,2.3,NA
GV01,2005-12-31T19:17:00Z,0.2,18.2,2.3,45.7,2.3,1062,NA,NA,NA
GV01,2006-03-28T09:53:00Z,0.5,1,0.9,20.6,1,1296,NA,NA,NA
AB00,2005-03-19T01:10:00Z,8.2,87.7,1.5,133.8,1.2,1379,NA,NA,NA
AB00,2003-03-15T17:41:00Z,0.1,185.9,8.5,254.8,8.8,555,1589.1,184.8,91.6
MC00,2004-03-01T20:15:00Z,3.4,23.6,4.1,47.3,4.2,183,NA,NA,NA
AB00,2003-05-07T11:29:00Z,6.2,53.9,3.9,79.7,4.1,1645,12.1,1.6,NA
AB00,2004-01-23T09:50:00Z,5,108,1.7,129,1.6,2244,NA,NA,NA
AT07,2007-04-20T07:05:00Z,12.7,77.7,11.8,163.6,11.3,165,NA,NA,NA
MC06,2010-01-20T13:00:00Z,22.4,165.1,6.6,243.9,8.7,297,NA,NA,NA
AT07,2009-04-05T11:05:00Z,0.3,1,2.6,29.4,3,NA,NA,NA,NA
RG01,2005-01-05T05:59:00Z,0.2,178.3,1.8,198.7,0.9,609,NA,NA,NA
HO00,2006-07-26T11:50:00Z,0.5,3.2,0.6,13.9,0.2,1105,NA,NA,NA
ON02,2009-02-19T06:15:00Z,0.2,5.5,0.3,8.8,0.2,1040,NA,NA,NA
RS02,2004-02-25T19:19:00Z,0.2,55.4,2.4,86.6,2.8,331,NA,NA,NA
GV01,2009-02-08T02:54:00Z,2.2,5.4,1.3,30.8,2.3,1237,NA,NA,NA
