site_code,timestamp_local,nh4_uM,no3_uM,po4_uM,tdn_uM,tdp_uM,spec_cond_uSpercm,tpc_uM,tpn_uM,tpp_uM
AB00,2009-02-18T00:55:00Z,2.1,36.8,8.6,73.6,6.2,1003,NA,NA,NA
MC00,2008-12-15T04:20:00Z,3,36.3,5.5,67.7,6.1,169,NA,NA,NA
AT07,2005-02-12T08:20:00Z,0.2,47.8,5.5,64.2,0.4,1306,NA,NA,NA
RS02,2010-04-20T11:10:00Z,0.8,5.8,0.1,87.3,4.1,9,NA,NA,NA
GV01,2009-02-07T22:54:00Z,1.8,7.4,1.2,40.9,2.2,1116,NA,NA,NA
MC06,2002-03-07T08:31:00Z,1.1,18.4,2.3,28.4,1.7,NA,14.8,1.9,NA
RG01,2009-02-16T15:55:00Z,0.3,65.6,2.5,105.1,2.3,544,NA,NA,NA
GV01,2005-02-14T17:24:00Z,0.3,1.9,1.9,9.1,0.1,1478,NA,NA,NA
RG01,2002-12-22T10:02:00Z,0.9,186.5,1.9,224.4,4.3,863,82.5,8.4,1.4
AT07,2004-10-28T08:07:00Z,0.5,45.5,11.5,99.2,11.4,1422,NA,NA,NA
AT07,2005-01-09T11:00:00Z,0.9,260.9,17.9,139.6,17.6,362,NA,NA,NA
MC00,2011-03-21T10:10:00Z,0.4,49.7,5.6,102.9,6.8,225,NA,NA,NA
AB00,2009-04-07T16:50:00Z,0.7,65,0.2,82.1,2.1,1834,NA,NA,NA
BC02,2006-01-02T19:15:00Z,1.3,294.4,3.2,305.3,3,579,NA,NA,NA
RG01,2005-01-09T07:20:00Z,0.5,81,44.1,121.9,37.2,346,13957.1,1360.7,1093.7
RS02,2005-01-03T02:47:00Z,0.1,66.1,1.9,79.7,1.5,179,NA,NA,NA
RS02,2008-01-04T18:54:00Z,0.3,117.1,2,175,1.1,281,NA,NA,NA
MC00,2005-10-17T17:10:00Z,26.3,99.8,12.5,229.8,14.4,180,NA,NA,NA
ON02,2004-10-20T08:53:00Z,142.5,103.3,14,593,20.8,905,304994.8,21531.1,1792.5
AB00,2004-03-01T15:18:00Z,8,63,3.6,105.4,4,1674,NA,NA,NA
ON02,2006-04-05T04:46:00Z,0.7,80.8,1.4,110,3,355,NA,NA,NA
AB00,2003-03-14T14:25:00Z,2.1,82.2,1.9,121.3,2.1,2390,8.9,1.2,0.2
MC00,2010-01-21T22:30:00Z,8.5,269.5,4.7,345.2,17.1,370,NA,NA,NA
ON02,2004-10-20T22:13:00Z,77.8,60.2,6.5,314.5,11,804,18860.1,1746.4,398.7
SP02,2009-02-16T13:25:00Z,24.1,239.6,16.4,304.1,19.5,450,NA,NA,NA
DV01,2004-10-18T07:30:00Z,120.8,157.6,17.7,484.4,20.7,19036,NA,NA,NA
AB00,2009-02-07T18:45:00Z,9.5,34,8.8,64.3,9,648,NA,NA,NA
AB00,2004-10-21T08:54:00Z,13.7,48.1,11.2,114.9,8.2,1302,NA,NA,NA
AT07,2005-01-02T22:50:00Z,2,177.9,9.9,45.3,7.7,290,NA,NA,NA
RG01,2004-03-01T15:54:00Z,1.2,110,2.2,129.6,1.5,1463,NA,NA,NA
AT07,2007-02-22T12:55:00Z,0.6,29.8,6.6,87.6,6.5,131,NA,NA,NA
GV01,2004-12-27T12:16:00Z,9.5,51.8,3.2,97.8,1.4,666,27380.3,2717.8,692.1
ON02,2007-03-14T19:11:00Z,0.2,NA,0.1,74.2,0.4,1508,NA,NA,NA
AB00,2012-01-26T09:40:00Z,17.7,57.2,1.2,91.6,1.6,1594,NA,NA,NA
AB00,2009-03-04T15:30:00Z,0.2,15.2,1.8,39.5,0.5,520,NA,NA,NA
AT07,2006-03-31T10:45:00Z,0.9,92.2,5.6,126.2,6.2,2049,NA,NA,NA
GV01,2005-12-03T01:10:00Z,0.5,2,0.7,19.2,1.2,1372,NA,NA,NA
ON02,2009-04-15T12:55:00Z,0.5,0.9,0.3,8.7,0.2,1210,NA,NA,NA
DV01,2005-03-22T09:45:00Z,1.9,77.2,7.4,120.7,7.3,768,NA,NA,NA
GV01,2005-02-20T20:05:00Z,0.3,58.6,10.2,78.4,4.7,808,1606.8,90.1,134
ON02,2004-10-19T21:54:00Z,182.2,103.7,8.3,706.2,20,1051,206661.5,16245.4,1840.8
AB00,2009-02-10T14:20:00Z,12.8,36,3.1,72.3,3.2,1189,NA,NA,NA
DV01,2005-02-21T12:00:00Z,2.3,46.1,15.2,123,14.9,339,NA,NA,NA
MC00,2011-03-27T12:40:00Z,2.3,84.2,1.2,102.4,2.5,577,NA,NA,NA
GV01,2009-02-18T01:50:00Z,0.3,8.2,1.2,25.9,1,1240,NA,NA,NA
AB00,2009-02-17T10:55:00Z,0.2,16.4,12.2,51.5,12.3,406,NA,NA,NA
SP02,2009-02-18T18:00:00Z,7.7,181.7,4.5,226.1,4.5,763,NA,NA,NA
MC00,2011-03-21T16:10:00Z,0.3,46,5.7,96,7,210,NA,NA,NA
BC02,2006-01-01T13:35:00Z,0.2,800.6,3.1,929.8,6.7,1433,NA,NA,NA
MC00,2009-12-07T05:30:00Z,39.2,85.7,9.3,251.6,12.9,293,NA,NA,NA
MC00,2011-03-16T15:30:00Z,0.4,40.6,NA,72.6,1.3,1323,NA,NA,NA
RG01,2003-04-13T13:37:00Z,0.9,123.8,1.3,144.8,2.2,1497,43.6,4.9,NA
AB00,2003-05-06T10:46:00Z,4.8,56.2,3.6,80.7,4.9,1498,20,2.5,NA
BC02,2009-03-04T23:45:00Z,13.3,390.9,3.7,462.2,3.4,1128,NA,NA,NA
GV01,2003-11-08T19:40:00Z,4.1,32.3,2.2,73.7,2.4,1261,NA,NA,NA
RG01,2009-02-07T23:40:00Z,1,80.6,1,105.5,1,1117,NA,NA,NA
AT07,2006-03-29T12:48:00Z,1.6,81.7,7.9,143.9,9.1,1509,NA,NA,NA
GV01,2005-05-18T14:45:00Z,0.4,5.4,0.1,13.4,0.4,1243,10.2,0.7,0.1
RG01,2004-10-29T18:27:00Z,0.3,11,2.8,37.4,2.5,2634,35.7,3.3,0.1
AT07,2011-08-10T11:40:00Z,0.6,9.9,5.2,33.9,6.6,NA,NA,NA,NA
RS02,2004-12-30T23:14:00Z,0.6,60.3,1.7,72.4,0.9,216,NA,NA,NA
RS02,2006-04-04T02:11:00Z,1.2,51.6,1.5,98.4,2.2,165,NA,NA,NA
MC00,2001-12-14T09:30:00Z,1,150.3,1.8,178.9,4.2,659,103.9,4.9,0.4
RS02,2009-12-13T16:55:00Z,3.3,338.5,2.7,450,1.9,681,NA,NA,NA
BC02,2010-01-21T06:40:00Z,2.3,361.8,2.1,453.9,13.5,581,NA,NA,NA
RG01,2005-05-09T23:58:00Z,0.9,214.2,NA,205.3,0.1,1433,31.5,0.9,0.5
RS02,2012-03-17T03:00:00Z,17.2,35.4,20.9,262.4,29.2,194,NA,NA,NA
AB00,2008-01-04T22:09:00Z,0.4,147.1,11.2,209.2,6.9,438,NA,NA,NA
MC00,2009-02-18T01:40:00Z,0.2,39.3,3.2,67,1.7,735,NA,NA,NA
MC00,2005-02-20T06:33:00Z,0.1,41.5,4.5,65.4,1.6,369,633.5,49.4,4.6
AB00,2005-03-22T18:11:00Z,2.3,121,14.7,148.4,7.4,611,NA,NA,NA
GV01,2004-03-01T23:02:00Z,0.2,2.8,2,20.7,2.3,1378,NA,NA,NA
AB00,2001-02-19T12:20:00Z,7.1,41.4,16.5,68.2,3.1,379,3006.2,329.8,288
MC00,2002-04-18T10:32:00Z,5,53.5,3,107.2,3.6,NA,14.3,1.8,0.2
GV01,2005-05-05T14:12:00Z,0.2,16.8,2.7,38.6,2.7,1152,597.3,70.9,107.4
RS02,2004-02-29T11:08:00Z,0.1,4.3,1.2,18.8,3,722,NA,NA,NA
AT07,2005-12-21T13:30:00Z,3.3,115.5,8.1,148.5,10.7,1887,NA,NA,NA
HO00,2003-06-05T14:45:00Z,0.4,2.4,1.4,4.7,0.9,928,2,0.3,NA
RS02,2011-03-24T22:00:00Z,0.6,47.9,NA,82.7,1.1,417,NA,NA,NA
MC00,2002-11-11T07:52:00Z,1.1,151,6.4,383.9,20,1188,25.7,3.1,0.3
MC00,2002-11-09T06:48:00Z,2.7,244.5,11.3,360.3,15,790,86,8.5,0.8
RS02,2010-01-22T03:00:00Z,4.9,369.1,1.9,519.6,3.7,378,NA,NA,NA
ON02,2005-03-18T15:40:00Z,0.1,112.6,0.1,118.9,0.1,919,NA,NA,NA
DV01,2006-01-24T20:11:00Z,14.6,88.3,1,156.8,3.2,4931,NA,NA,NA
AT07,2005-07-12T13:21:00Z,1.4,1.2,0.9,31.7,1.8,1899,NA,NA,NA
AB00,2008-11-20T11:45:00Z,5,68.1,1.8,92.8,2,651,NA,NA,NA
RS02,2006-03-03T08:55:00Z,0.4,5.1,0.6,10.9,0.9,603,NA,NA,NA
DV01,2003-11-12T09:15:00Z,62.9,68.3,13,227,14.2,1798,NA,NA,NA
RG01,2008-12-16T02:39:00Z,1.4,107.1,0.2,138.2,0.3,2782,NA,NA,NA
MC00,2007-01-27T17:32:00Z,11.3,29.7,8.7,101.3,9,184,NA,NA,NA
GV01,2004-02-25T17:37:00Z,0.3,32.7,22.6,71.6,8.8,422,NA,NA,NA
MC00,2006-02-28T14:03:00Z,0.2,74.2,2.7,104.8,3,480,NA,NA,NA
RG01,2008-11-25T21:55:00Z,6.1,35.9,2.1,103.9,1.5,316,NA,NA,NA
AT07,2005-03-07T14:16:00Z,0.1,45.8,5.8,131.1,2.1,2408,NA,NA,NA
RG01,2005-04-28T18:31:00Z,0.5,248.2,0.4,250.9,0.1,1485,44.7,4.5,0.3
AB00,2001-12-13T16:45:00Z,17.3,155.1,0.9,187.6,2.5,1342,13.5,1.6,0.6
BC02,2009-02-16T06:55:00Z,19.4,354.3,4.4,391.1,5.3,653,NA,NA,NA
ON02,2006-01-02T10:11:00Z,0.4,144.1,2.6,174.2,1.9,283,NA,NA,NA
GV01,2007-01-28T04:51:00Z,0.1,0.6,0.3,43.9,0.8,1360,NA,NA,NA
DV01,2005-11-30T09:15:00Z,5.9,35.9,3.5,130,4.3,6197,NA,NA,NA
AT07,2004-12-07T10:00:00Z,1.3,36.1,5.9,83.6,6.8,1114,NA,NA,NA
AB00,2001-11-28T23:49:00Z,14.4,119.4,8.7,133.4,7.1,NA,69.3,7.6,4.6
MC00,2011-02-25T17:25:00Z,0.2,13.2,0.2,40.6,2.9,157,NA,NA,NA
GV01,2008-01-04T21:58:00Z,1.5,199.4,8.5,240.3,3.2,438,NA,NA,NA
ON02,2005-02-20T02:57:00Z,3.2,297,1.7,335.9,0.8,469,5548.1,340.7,115.3
RS02,2005-04-28T07:17:00Z,0.4,5.1,0.4,10.4,0.1,616,NA,NA,NA
AB00,2012-05-18T08:30:00Z,2.6,66.1,0.8,71.8,0.4,2635,NA,NA,NA
AB00,2009-07-01T13:35:00Z,0.1,36.4,NA,86.8,2.2,2241,NA,NA,NA
RG01,2006-05-24T08:15:00Z,2.3,100.8,0.2,122,1.2,1426,NA,NA,NA
MC00,2006-03-21T12:17:00Z,1.3,29.7,1.3,52.2,2.7,705,NA,NA,NA
GV01,2006-02-01T13:42:00Z,0.1,1.4,0.3,20.7,0.6,1414,NA,NA,NA
AB00,2009-10-01T14:25:00Z,1.7,42.8,1.4,101.6,1.9,2206,NA,NA,NA
AB00,2005-01-09T14:09:00Z,1.3,95.8,29.8,124.5,24.3,375,NA,NA,NA
RS02,2009-02-07T20:19:00Z,7,34.3,2.4,59.7,1.7,758,168.4,19.2,NA
ON02,2005-01-11T16:13:00Z,2.3,394.7,2.3,411.9,0.9,563,245,3.2,5
SP02,2009-04-06T16:00:00Z,0.4,47,2,75.5,1.8,NA,NA,NA,NA
RG01,2006-03-28T03:00:00Z,1.3,78.1,0.4,96.7,0.4,1493,NA,NA,NA
GV01,2004-09-29T14:40:00Z,0.5,1.1,2.6,13.5,5.3,1670,NA,NA,NA
BC02,2010-01-19T22:05:00Z,0.8,274.6,3,318.5,3.7,308,NA,NA,NA
ON02,2004-12-28T08:09:00Z,15.9,502.6,0.8,541.8,3.1,514,NA,NA,832.4
BC02,2009-03-04T09:00:00Z,11,424.1,3.8,503.8,2,660,NA,NA,NA
MC06,2011-03-23T12:00:00Z,0.2,79.1,NA,95.1,2.2,544,NA,NA,NA
RS02,2009-12-13T09:55:00Z,5.6,437.4,3.9,522.1,3.3,576,NA,NA,NA
MC00,2007-02-10T20:04:00Z,10.2,42.1,1.4,111.1,1,168,NA,NA,NA
ON02,2005-11-21T09:46:00Z,1.4,NA,0.2,10.2,0.2,1051,NA,NA,NA
RS02,2010-12-20T16:14:00Z,3.1,225.6,1.7,257.4,1.2,1467,NA,NA,NA
BC02,2009-03-04T18:45:00Z,11.6,395.8,3.5,457.5,3.8,998,NA,NA,NA
ON02,2006-04-19T14:45:00Z,0.1,26.1,0.2,29.7,0.8,928,NA,NA,NA
MC00,2006-03-03T16:16:00Z,0.4,25.8,4.2,48.1,5,459,NA,NA,NA
AB00,2001-03-04T23:50:00Z,3.1,68.1,18.9,113.4,8.1,297,21507.1,1871,1056.8
GV01,2004-12-05T19:41:00Z,0.3,11.9,2.7,37.4,3.4,1496,2099.2,187.2,24.4
GV01,2005-01-17T16:13:00Z,0.4,78.3,8.4,98.1,3.9,1395,305.4,19.2,39.1
MC00,2009-01-29T14:40:00Z,1.2,56.2,2.7,62.5,2.7,1450,NA,NA,NA
MC00,2009-04-15T14:55:00Z,0.9,4.3,2,28.1,2,1394,NA,NA,NA
MC00,2003-10-31T12:45:00Z,0.6,72.5,3.4,102.1,3.6,1483,NA,NA,NA
AB00,2003-02-13T10:19:00Z,1.2,106.1,14.6,157.6,13.3,1048,231,31.2,8.1
MC06,2011-03-25T02:00:00Z,0.8,37.2,1.9,67.5,4.3,295,NA,NA,NA
AT07,2002-06-02T11:30:00Z,0.6,5.3,0.3,43.7,3.2,NA,NA,NA,NA
AT07,2007-02-11T12:15:00Z,0.1,27.6,6.7,116.8,9.9,619,NA,NA,NA
RG01,2005-01-28T03:01:00Z,0.1,288.2,2.5,306.2,0.8,1375,NA,NA,0.6
ON02,2006-03-06T09:28:00Z,0.5,17.8,0.9,25.3,1.4,677,NA,NA,NA
MC00,2005-12-02T05:37:00Z,1.1,100.5,1.2,125.5,0.8,1318,NA,NA,NA
TO02,2007-01-31T02:15:00Z,0.1,213.5,NA,281.4,0.2,1579,NA,NA,NA
MC00,2004-10-26T08:25:00Z,0.3,44.8,5.2,70.8,5,1422,16.3,1.3,0.2
MC06,2002-11-09T00:56:00Z,0.1,237.9,8.1,349.3,10.9,711,284.2,19.8,1.3
MC00,2006-05-31T15:52:00Z,9.3,55.2,0.7,76.3,1.4,1327,NA,NA,NA
ON02,2005-05-05T19:58:00Z,0.1,121.9,0.8,132.4,1,740,36.4,3.8,0.4
MC00,2004-02-25T18:53:00Z,6.1,40.8,9.5,71.7,9.7,166,NA,NA,NA
AB00,2001-02-19T10:45:00Z,7.1,52.6,3.5,74.2,2.5,811,2059.9,238.5,242.6
AT07,2005-11-09T07:55:00Z,12.7,52.7,8,88.6,8.6,220,NA,NA,NA
GV01,2004-11-05T07:48:00Z,48.9,21.4,4.1,122.7,4.8,1268,1765.3,213.6,40.6
BC02,2009-12-12T05:00:00Z,0.1,160.3,4.1,328.6,7.6,1198,NA,NA,NA
RS02,2009-10-13T18:05:00Z,36.3,50.9,0.5,127.2,1.5,714,NA,NA,NA
BC02,2006-05-21T20:30:00Z,5.8,473.8,3.6,537.7,4.9,1469,NA,NA,NA
ON02,2004-12-29T06:51:00Z,20.1,604.8,1.3,641.8,1,569,10132.6,1001.4,195.9
GV01,2005-02-26T21:16:00Z,0.1,71.6,9.4,80.6,3.4,1111,NA,NA,NA
MC00,2006-09-20T16:27:00Z,1.3,76.1,1,85.2,1.1,1254,NA,NA,NA
GV01,2009-02-05T16:00:00Z,0.2,0.5,0.9,16.3,0.9,1457,NA,NA,NA
AB00,2005-03-23T02:16:00Z,2.6,121.8,8.1,145.6,2.9,954,NA,NA,NA
MC00,2004-02-17T18:33:00Z,0.2,50.9,1.1,67.3,1.3,1351,NA,NA,NA
AB00,2008-01-28T03:07:00Z,0.5,109.9,9.7,157.2,9.2,542,NA,NA,NA
RG01,2006-03-28T15:30:00Z,2.6,76,6.3,118.2,6.2,640,NA,NA,NA
SP02,2011-02-20T18:25:00Z,0.2,60,3.3,106.2,4.2,305,NA,NA,NA
TO02,2006-02-28T17:16:00Z,0.2,62.1,1.7,173.7,0.6,621,NA,NA,NA
GV01,2005-02-22T00:05:00Z,0.6,77.1,10.2,92.7,4.2,703,3880.3,189.5,421.2
RG01,2005-01-03T02:17:00Z,1.1,108.6,18.5,131.4,3.6,291,9531.1,840.6,190.7
RS02,2008-11-26T18:35:00Z,0.2,NA,0.3,16.2,0.3,266,NA,NA,NA
RG01,2005-03-22T10:47:00Z,2.9,181.7,6.1,208.9,6.6,981,9870.5,775.9,152
GV01,2004-12-06T07:42:00Z,0.3,12.1,2,41,3.1,1644,354.9,47.4,5.5
MC00,2004-02-25T16:40:00Z,6.8,27.1,5.8,53.1,6.3,121,NA,NA,NA
RG01,2006-04-12T01:05:00Z,0.2,113.6,0.4,113.8,0.7,1177,NA,NA,NA
RG01,2003-12-25T17:30:00Z,0.1,116.5,2.1,140.8,3,2197,NA,NA,NA
DV01,2005-01-08T10:04:00Z,5.2,59.7,16.1,109.7,15.6,567,NA,NA,NA
AB00,2011-08-30T07:55:00Z,0.8,67.2,1.3,96.6,1,2284,NA,NA,NA
AB00,2009-02-18T03:55:00Z,4,36,7.8,72.9,5.4,1144,NA,NA,NA
RS02,2009-12-07T19:00:00Z,18.6,48.1,NA,128.7,5.5,809,NA,NA,NA
RG01,2002-12-16T13:07:00Z,0.2,208.7,19.4,298.7,18,395,NA,NA,302
MC00,2003-03-15T17:51:00Z,0.1,117.3,6.4,172.1,7.5,376,924.5,75.4,8.5
MC00,2009-03-04T20:45:00Z,0.6,18.2,2.9,52.9,1.2,468,NA,NA,NA
RG01,2005-01-02T20:17:00Z,0.6,91.9,12.1,116.9,4.4,297,2916.1,418.6,68.5
AB00,2004-09-13T16:27:00Z,1.6,39.5,3.1,72.1,5.5,2168,NA,NA,NA
RG01,2004-10-26T23:38:00Z,5.5,163.3,7.1,243,7.8,574,610.3,32.9,4.3
AT07,2007-03-13T13:29:00Z,0.8,2.4,1.9,108.9,2,3143,NA,NA,NA
MC00,2004-09-13T16:46:00Z,2.3,15.8,3.6,39,6.9,1537,NA,NA,NA
GV01,2009-02-06T22:00:00Z,1.4,2.7,1.9,23.7,2.5,616,NA,NA,NA
MC00,2006-01-02T15:56:00Z,0.1,84.5,2.9,135.6,4.2,344,NA,NA,NA
GV01,2006-02-27T16:51:00Z,0.2,16.1,0.9,19.1,1.2,1142,NA,NA,NA
MC00,2008-01-28T03:18:00Z,0.4,112,4.2,147,4.4,280,NA,NA,NA
RG01,2004-02-25T18:20:00Z,6.5,133.9,30.6,189.7,13,429,NA,NA,NA
AT07,2005-03-18T13:14:00Z,0.1,71.9,2.1,113.4,2.1,2167,NA,NA,NA
AB00,2012-01-22T00:35:00Z,3.4,51.2,2,87.1,2.1,1160,NA,NA,NA
RG01,2005-11-09T09:28:00Z,0.5,221.6,7.5,244.4,8.2,839,NA,NA,NA
BC02,2006-03-28T14:35:00Z,0.4,260,8,319.9,11.6,758,NA,NA,NA
GV01,2006-03-07T05:19:00Z,0.1,3.3,1,18.4,1.6,1093,NA,NA,NA
RS02,2003-11-09T16:25:00Z,0.1,0.8,1.6,19.1,1.6,858,NA,NA,NA
GV01,2006-05-25T13:50:00Z,1.5,1.7,0.4,12.6,2.9,1413,NA,NA,NA
MC00,2010-01-20T13:25:00Z,18.2,64.4,7.2,125.6,8.9,499,NA,NA,NA
MC00,2009-07-31T16:20:00Z,0.8,1.6,1.9,39.9,2,1559,NA,NA,NA
MC00,2006-03-28T09:53:00Z,5.7,15.1,3.2,39.4,1.8,209,NA,NA,NA
MC00,2011-02-26T19:25:00Z,0.3,34.8,NA,65.8,2.7,691,NA,NA,NA
RS02,2010-01-24T00:25:00Z,1,350,0.1,410.5,13.2,331,NA,NA,NA
RG01,2004-10-17T01:00:00Z,45.3,99.8,11.1,340.9,11.4,812,1171.9,75.7,26.4
MC00,2004-12-14T13:53:00Z,1.8,57.4,4.8,88.6,4.8,1331,18.1,0.5,NA
MC00,2004-12-30T14:39:00Z,1.3,107.5,4.3,137.5,3.1,604,NA,NA,NA
AB00,2001-08-12T16:00:00Z,3.7,109.5,2.1,144.8,1.8,NA,NA,NA,0.6
RG01,2009-02-17T03:55:00Z,0.1,89.5,0.5,118.2,1.3,876,NA,NA,NA
RG01,2004-02-26T12:37:00Z,0.1,155.8,2.3,191.1,2.4,786,NA,NA,NA
GV01,2009-02-16T02:30:00Z,0.6,3.7,0.9,17.2,0.6,1451,NA,NA,NA
RS02,2004-02-02T16:05:00Z,0.6,8.6,2.3,24.1,3,808,NA,NA,NA
TO02,2007-04-09T12:40:00Z,0.5,152.2,NA,182.2,0.1,2494,NA,NA,NA
MC00,2005-02-27T11:22:00Z,0.2,44.7,3,52.4,0.8,634,NA,NA,NA
MC00,2007-12-18T11:55:00Z,23.6,79,13.3,161.5,13,276,NA,NA,NA
AT07,2006-04-14T21:54:00Z,2.2,44.5,7.5,80,12,1136,NA,NA,NA
RG01,2003-02-23T16:13:00Z,0.2,118.7,1.4,139.2,1.7,1592,3.5,0.4,NA
BC02,2006-04-05T23:05:00Z,0.5,180.1,0.8,206,1.3,581,NA,NA,NA
HO00,2003-07-03T13:35:00Z,0.4,3.8,1.2,8.3,1.7,1026,4.6,0.6,NA
AB00,2007-10-08T11:55:00Z,2.1,75.6,0.7,94.5,1,2278,NA,NA,NA
RS02,2005-12-02T21:04:00Z,0.2,0.9,0.5,6.4,0.2,825,NA,NA,NA
RG01,2009-02-07T21:40:00Z,0.7,86.6,1,105.6,0.5,1144,NA,NA,NA
GV01,2007-01-28T15:53:00Z,0.4,2.1,2.2,43.6,2.6,1469,NA,NA,NA
AB00,2002-10-21T14:58:00Z,1.1,102.9,1.3,193.8,3.9,2220,15.6,1.8,0.2
MC00,2007-12-18T13:50:00Z,20.8,83.5,13,160.4,12.7,292,NA,NA,NA
RS02,2007-07-19T14:53:00Z,0.7,0.9,0.1,22.9,1.5,3340,NA,NA,NA
RS02,2004-12-31T22:41:00Z,0.1,121.1,2,132.2,0.4,284,NA,NA,NA
TO02,2007-01-26T14:45:00Z,0.5,201.7,NA,283.5,0.1,141,NA,NA,NA
AT07,2007-04-10T12:24:00Z,1.8,12.3,4,83.7,4,883,NA,NA,NA
RG01,2003-05-03T06:24:00Z,0.3,278.7,3.6,320.8,3.8,1284,334.1,53.2,NA
MC00,2006-05-22T04:18:00Z,3.8,0.5,104.2,69.3,5.7,451,NA,NA,NA
MC00,2009-03-04T11:45:00Z,3.8,33.1,3.9,70.4,2.9,434,NA,NA,NA
GV01,2009-02-16T18:30:00Z,0.4,30.8,3.1,76.2,2.5,783,NA,NA,NA
AB00,2009-02-16T11:55:00Z,0.5,17.6,9.6,50.8,10.3,340,NA,NA,NA
BC02,2004-12-27T11:50:00Z,0.6,663.2,6.1,679.5,5.4,1678,NA,NA,NA
AB00,2002-12-16T11:58:00Z,6.3,25.8,27,69.7,30.7,195,7346.6,756.1,544.2
MC06,2012-03-25T14:00:00Z,0.8,17.1,2.4,37.4,2.6,733,NA,NA,NA
MC00,2002-12-20T08:22:00Z,0.2,194.6,7.1,238.9,8.4,474,606.4,56.1,2.9
TO02,2006-02-28T02:10:00Z,0.2,182.6,1.9,194.3,2.1,357,NA,NA,NA
AB00,2009-03-05T10:30:00Z,0.8,20.1,1.3,46.4,0.9,1174,NA,NA,NA
RS02,2009-12-12T19:55:00Z,47,206.3,11.4,398.9,11.3,669,NA,NA,NA
ON02,2009-02-17T01:34:00Z,0.2,47.7,0.5,57.1,0.3,803,NA,NA,NA
MC00,2004-03-02T06:58:00Z,0.7,42.1,3.8,63.6,4,580,NA,NA,NA
ON02,2006-04-04T19:46:00Z,0.6,77,1.5,104.2,3.2,313,NA,NA,NA
ON02,2005-01-29T12:32:00Z,0.1,124.3,1.8,145.3,0.3,976,20.9,1.3,0.1
ON02,2005-01-07T02:05:00Z,2.3,285.7,1.8,312.7,1,929,NA,NA,NA
DV01,2004-07-07T10:40:00Z,0.3,0.1,2.1,80.6,3.9,4943,NA,NA,NA
MC00,2004-02-25T17:45:00Z,3.8,34.2,6.4,54.7,6.7,145,NA,NA,NA
RG01,2004-10-19T10:30:00Z,24.9,56.9,3.6,198.5,5.7,1123,137.7,14.1,1.1
GV01,2002-11-09T02:51:00Z,2.3,7.5,3.3,245,30.3,1160,743.2,73,10.2
RS02,2009-02-08T10:19:00Z,3.8,10.8,1.5,27.9,2.2,910,NA,NA,NA
GV01,2005-01-11T19:00:00Z,0.3,105.9,6.9,130.9,3.8,798,2317.1,235.7,482.4
MC00,2004-02-18T15:12:00Z,12.7,41.1,6.6,95.5,9,123,NA,NA,NA
MC00,2006-04-04T03:44:00Z,3.4,56.3,8.2,107.9,10.6,237,NA,NA,NA
MC06,2003-03-15T03:55:00Z,0.1,49.8,7.5,97.6,10,353,1794.1,160.5,16.2
DV01,2005-02-20T20:00:00Z,9.7,73.2,13.5,195.1,13.3,14,NA,NA,NA
SP02,2010-04-09T10:50:00Z,0.4,76,2.5,139.2,1.8,712,NA,NA,NA
DV01,2005-12-31T09:40:00Z,27.8,14.8,13.3,132.9,16.2,9864,NA,NA,NA
MC00,2009-02-18T00:40:00Z,0.3,38.3,3.3,66.7,1.4,739,NA,NA,NA
DV01,2006-03-03T06:55:00Z,2.2,35.9,6.9,63.4,7,344,NA,NA,NA
AB00,2008-02-25T15:05:00Z,7.7,45.6,1.8,81.7,1.8,NA,NA,NA,NA
GV01,2004-12-31T06:45:00Z,0.9,99.6,51.4,143.1,17.2,395,22931.7,2039.6,2454.7
AB00,2009-02-07T17:45:00Z,3.6,34.2,9,66.3,10.1,617,NA,NA,NA
AB00,2001-11-14T05:50:00Z,23.8,80,9,138,5.2,NA,65.3,6.2,2.4
AB00,2005-01-10T05:50:00Z,0.5,71,35.8,80.6,10.5,434,NA,NA,NA
RS02,2011-03-21T18:35:00Z,0.3,47.7,0.4,85.5,1.3,179,NA,NA,NA
SP02,2009-03-04T04:45:00Z,13.1,200.6,10.5,291.7,8.8,488,NA,NA,NA
GV01,2004-12-29T01:36:00Z,0.2,115.4,4.9,150.6,2.9,589,1204.1,99.2,106.9
MC00,2005-03-04T10:03:00Z,0.2,27.8,3.5,47.5,2.7,435,186.7,9.3,1.4
BC02,2006-04-03T14:50:00Z,0.9,141.5,11.2,197.5,12.8,536,NA,NA,NA
RS02,2011-03-21T22:35:00Z,0.1,64,0.4,110.1,1.4,189,NA,NA,NA
ON02,2004-12-29T00:51:00Z,18.1,598.8,1.4,600.2,1.2,516,17136.6,1751.9,402.3
MC00,2005-08-10T11:57:00Z,1.6,70,1.2,82.2,1.2,1579,10.9,1,0.1
RG01,2011-03-29T14:00:00Z,0.9,166.1,0.3,176.7,0.8,995,NA,NA,NA
AT07,2006-04-03T17:29:00Z,3.4,28.6,9.6,73.2,11.7,312,NA,NA,NA
MC00,2002-04-04T11:15:00Z,4,75.5,3.1,118.1,3.7,NA,64.8,4.2,0.4
RS02,2009-03-04T04:35:00Z,8.4,51.2,4.7,88.1,3.9,715,NA,NA,NA
AT07,2005-03-06T11:00:00Z,0.3,102.9,5.6,136.1,3.1,NA,NA,NA,NA
GV01,2006-04-07T11:01:00Z,0.5,26.4,2.1,46.2,2.3,1101,NA,NA,NA
MC00,2010-12-20T03:59:00Z,2,172.7,8.5,208.8,9.1,356,NA,NA,NA
